Key	WorldX	WorldY	WorldZ	Classname	micFileName	Eventnumber	Posixtime	ImgX1	ImgY1	ImgX2	ImgY2
6254	203648.734076	544475.145452	45.469643	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502143706.mic	84855	2022-05-02 05:37:54.642100(utc)	1785	1414	1869	1434
6255	203514.194648	544324.121465	45.323843	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502142606.mic	78144	2022-05-02 05:26:43.542162(utc)	1837	964	1869	994
6256	203505.270819	544217.813634	39.324541	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502142506.mic	77340	2022-05-02 05:25:23.145577(utc)	2355	1464	2521	1504
6257	203960.417304	544750.255926	29.033998	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502140010.mic	62752	2022-05-02 05:01:04.337706(utc)	1823	1316	1929	1340
6258	202512.337714	544274.767553	22.025901	Yield	2205021311_M008C35L03G031_6762/01_camera/01/220502153211.mic	117537	2022-05-02 06:32:22.841810(utc)	1514	1306	1596	1322
6259	203397.139716	544271.748174	37.626375	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145606.mic	96108	2022-05-02 05:56:39.946004(utc)	3698	502	3838	738
6260	203778.980292	544412.888799	42.647011	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145306.mic	94200	2022-05-02 05:53:29.143033(utc)	2086	1450	2194	1470
6261	203103.600287	543901.052656	18.387913	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502152611.mic	113967	2022-05-02 06:26:25.842489(utc)	2346	1083	2372	1109
6262	206208.842353	544017.705785	19.254018	BothPass	2205021311_M008C35L03G031_6762/01_camera/01/220502155611.mic	131976	2022-05-02 06:56:26.739825(utc)	1692	1612	1876	1670
6263	203930.175605	544781.629095	32.026529	CrossWalk	2205021311_M008C35L03G031_6762/01_camera/01/220502134101.mic	50864	2022-05-02 04:41:15.539042(utc)	1851	876	1899	926
6264	206202.473090	544018.220190	18.639470	HighSpeed_limit	2205021311_M008C35L03G031_6762/01_camera/01/220502155611.mic	131972	2022-05-02 06:56:26.339031(utc)	3133	515	3471	799
6265	204832.555777	545183.577947	19.748015	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502154211.mic	123981	2022-05-02 06:43:07.245725(utc)	3369	1772	3637	1854
6266	203436.066840	544395.631292	53.069515	Oneway_left	2205021311_M008C35L03G031_6762/01_camera/01/220502142706.mic	78866	2022-05-02 05:27:55.747246(utc)	2666	706	2826	870
6267	203447.350531	544141.860204	31.477077	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502142206.mic	75776	2022-05-02 05:22:46.743604(utc)	2096	1511	2198	1547
6268	203439.487372	544560.035161	59.196640	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145706.mic	96726	2022-05-02 05:57:41.743563(utc)	3007	1607	3103	1631
